NFR19,SNAP,Source,Activity,Profile_ID
1A3bvii,7,Road transport - cars - motorway driving,Road abrasion,ROAD_CAT_MOT
1A3bvii,7,Road transport - cars - rural driving,Road abrasion,ROAD_CAT_RUR
1A3bvii,7,Road transport - cars - urban driving,Road abrasion,ROAD_CAT_URB
1A3bvii,7,Road transport - HGV articulated - motorway driving,Road abrasion,ROAD_HGV_MOT
1A3bvii,7,Road transport - HGV articulated - rural driving,Road abrasion,ROAD_HGV_RUR
1A3bvii,7,Road transport - HGV articulated - urban driving,Road abrasion,ROAD_HGV_URB
1A3bvii,7,Road transport - HGV rigid - motorway driving,Road abrasion,ROAD_HGV_MOT
1A3bvii,7,Road transport - HGV rigid - rural driving,Road abrasion,ROAD_HGV_RUR
1A3bvii,7,Road transport - HGV rigid - urban driving,Road abrasion,ROAD_HGV_URB
1A3bvii,7,Road transport - LGVs - motorway driving,Road abrasion,ROAD_LGV_MOT
1A3bvii,7,Road transport - LGVs - rural driving,Road abrasion,ROAD_LGV_RUR
1A3bvii,7,Road transport - LGVs - urban driving,Road abrasion,ROAD_LGV_URB
1A3bvii,7,Road transport - mopeds (<50cc 2st) - urban driving,Road abrasion,ROAD_CYC_URB
1A3bvii,7,Road transport - motorcycle (>50cc  2st) - rural driving,Road abrasion,ROAD_CYC_RUR
1A3bvii,7,Road transport - motorcycle (>50cc  2st) - urban driving,Road abrasion,ROAD_CYC_URB
1A3bvii,7,Road transport - motorcycle (>50cc  4st) - motorway driving,Road abrasion,ROAD_CYC_MOT
1A3bvii,7,Road transport - motorcycle (>50cc  4st) - rural driving,Road abrasion,ROAD_CYC_RUR
1A3bvii,7,Road transport - motorcycle (>50cc  4st) - urban driving,Road abrasion,ROAD_CYC_URB
1A3c,8,Rail - coal,Coal,RAIL_GEN
1A3c,8,Railways - freight,Gas oil,RAIL_GEN
1A3c,8,Railways - intercity,Gas oil,RAIL_GEN
1A3c,8,Railways - regional,Gas oil,RAIL_GEN
1A3d,8,Inland goods-carrying vessels,DERV,SHIP_CTP
1A3d,8,Inland goods-carrying vessels,Gas oil,SHIP_CTP
1A3d,8,Inland goods-carrying vessels,Petrol,SHIP_CTP
1A3d,8,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",DERV,SHIP_MIS
1A3d,8,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",Gas oil,SHIP_MIS
1A3d,8,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",Petrol,SHIP_MIS
1A3d,8,Personal watercraft e.g. jet ski,DERV,SHIP_REC
1A3d,8,Personal watercraft e.g. jet ski,Gas oil,SHIP_REC
1A3d,8,Personal watercraft e.g. jet ski,Petrol,SHIP_REC
1A3d,8,Sailing boats with auxiliary engines,DERV,SHIP_REC
1A3d,8,Sailing boats with auxiliary engines,Gas oil,SHIP_REC
1A3d,8,Sailing boats with auxiliary engines,Petrol,SHIP_REC
1A3d,8,Shipping - coastal,Fuel oil,SHIP_CTP
1A3d,8,Shipping - coastal,Gas oil,SHIP_CTP
1A3d,8,Shipping between UK and Bermuda,Fuel oil,SHIP_CTP
1A3d,8,Shipping between UK and CDs,Fuel oil,SHIP_CTP
1A3d,8,Shipping between UK and CDs,Gas oil,SHIP_CTP
1A3d,8,Shipping between UK and Gibraltar,Fuel oil,SHIP_CTP
1A3d,8,Shipping between UK and OTs (excl. Gib and Bermuda),Fuel oil,SHIP_CTP
1A3dii,8,Inland goods-carrying vessels,DERV,SHIP_CTP
1A3dii,8,Inland goods-carrying vessels,Gas oil,SHIP_CTP
1A3dii,8,Inland goods-carrying vessels,Petrol,SHIP_CTP
1A3dii,8,Marine engines,Lubricants,SHIP_CTP
1A3dii,8,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",DERV,SHIP_MIS
